iter	Passed	Remaining
623	1051	633
624	1053	631
625	1054	630
626	1056	628
627	1058	627
628	1059	625
629	1061	623
630	1063	621
631	1064	619
632	1066	618
633	1067	616
634	1069	614
635	1071	613
636	1073	611
637	1074	609
638	1076	607
639	1077	606
640	1079	604
641	1080	602
642	1082	601
643	1084	599
644	1085	597
645	1087	595
646	1088	594
647	1090	592
648	1091	590
649	1093	588
650	1094	586
651	1096	585
652	1098	583
653	1100	582
654	1101	580
655	1103	578
656	1104	576
657	1106	575
658	1107	573
659	1109	571
660	1110	569
661	1112	567
662	1113	566
663	1115	564
664	1117	562
665	1119	561
666	1120	559
667	1122	557
668	1123	556
669	1126	554
670	1127	552
671	1129	551
672	1131	549
673	1132	547
674	1134	546
675	1135	544
676	1137	542
677	1138	540
678	1140	539
679	1142	537
680	1143	535
681	1144	533
682	1146	532
683	1147	530
684	1149	528
685	1150	526
686	1151	524
687	1153	523
688	1155	521
689	1157	519
690	1158	518
691	1159	516
692	1161	514
693	1162	512
694	1164	510
695	1165	509
696	1166	507
697	1168	505
698	1169	503
699	1170	501
700	1171	499
701	1173	498
702	1174	496
703	1175	494
704	1176	492
705	1178	490
706	1179	488
707	1180	486
708	1181	485
709	1183	483
710	1184	481
711	1186	479
712	1187	478
713	1189	476
714	1190	474
715	1191	472
716	1192	470
717	1194	468
718	1195	467
719	1196	465
720	1197	463
721	1199	461
722	1200	459
723	1202	458
724	1203	456
725	1204	454
726	1206	453
727	1207	451
728	1209	449
729	1210	447
730	1211	445
731	1212	444
732	1214	442
733	1215	440
734	1217	438
735	1218	437
736	1220	435
737	1222	433
738	1223	432
739	1224	430
740	1226	428
741	1227	426
742	1229	425
743	1230	423
744	1232	421
745	1233	420
746	1235	418
747	1236	416
748	1237	414
749	1239	413
750	1240	411
751	1242	409
752	1243	407
753	1244	406
754	1246	404
755	1247	402
756	1249	400
757	1250	399
758	1251	397
759	1253	395
760	1254	394
761	1256	392
762	1257	390
763	1259	388
764	1260	387
765	1262	385
766	1264	384
767	1266	382
768	1267	380
769	1268	378
770	1269	377
771	1270	375
772	1272	373
773	1273	371
774	1274	370
775	1275	368
776	1277	366
777	1279	365
778	1281	363
779	1283	361
780	1285	360
781	1286	358
782	1287	356
783	1289	355
784	1290	353
785	1292	351
786	1293	350
787	1295	348
788	1296	346
789	1298	345
790	1300	343
791	1301	341
792	1303	340
793	1304	338
794	1306	336
795	1307	335
796	1309	333
797	1311	331
798	1312	330
799	1314	328
800	1315	326
801	1316	325
802	1318	323
803	1319	321
804	1320	319
805	1322	318
806	1323	316
807	1325	314
808	1327	313
809	1328	311
810	1330	309
811	1331	308
812	1332	306
813	1334	304
814	1335	303
815	1336	301
816	1338	299
817	1340	298
818	1342	296
819	1343	294
820	1345	293
821	1346	291
822	1347	289
823	1349	288
824	1350	286
825	1352	284
826	1354	283
827	1356	281
828	1358	280
829	1359	278
830	1360	276
831	1362	275
832	1363	273
833	1364	271
834	1366	269
835	1367	268
836	1369	266
837	1370	265
838	1372	263
839	1373	261
840	1375	260
841	1377	258
842	1378	256
843	1380	255
844	1382	253
845	1384	252
846	1386	250
847	1387	248
848	1389	247
849	1391	245
850	1393	243
851	1394	242
852	1396	240
853	1397	238
854	1399	237
855	1401	235
856	1402	234
857	1403	232
858	1405	230
859	1406	228
860	1407	227
861	1409	225
862	1410	223
863	1412	222
864	1413	220
865	1415	218
866	1416	217
867	1417	215
868	1419	213
869	1420	212
870	1421	210
871	1423	208
872	1424	207
873	1425	205
874	1427	203
875	1429	202
876	1430	200
877	1432	199
878	1434	197
879	1435	195
880	1436	194
881	1438	192
882	1439	190
883	1441	189
884	1443	187
885	1445	185
886	1446	184
887	1448	182
888	1449	181
889	1450	179
890	1452	177
891	1453	176
892	1455	174
893	1457	172
894	1458	171
895	1460	169
896	1461	167
897	1463	166
898	1464	164
899	1465	162
900	1467	161
901	1468	159
902	1470	157
903	1472	156
904	1473	154
905	1475	153
906	1476	151
907	1478	149
908	1479	148
909	1481	146
910	1482	144
911	1483	143
912	1484	141
913	1486	139
914	1487	138
915	1489	136
916	1490	134
917	1492	133
918	1493	131
919	1494	129
920	1496	128
921	1497	126
922	1498	125
923	1500	123
924	1501	121
925	1503	120
926	1504	118
927	1506	116
928	1507	115
929	1508	113
930	1510	111
931	1511	110
932	1513	108
933	1515	107
934	1516	105
935	1517	103
936	1519	102
937	1520	100
938	1522	98
939	1523	97
940	1525	95
941	1526	93
942	1527	92
943	1529	90
944	1531	89
945	1533	87
946	1534	85
947	1535	84
948	1537	82
949	1538	80
950	1540	79
951	1541	77
952	1542	76
953	1544	74
954	1546	72
955	1547	71
956	1548	69
957	1550	67
958	1551	66
959	1553	64
960	1554	63
961	1555	61
962	1556	59
963	1558	58
964	1559	56
965	1561	54
966	1562	53
967	1564	51
968	1566	50
969	1567	48
970	1568	46
971	1570	45
972	1571	43
973	1572	41
974	1573	40
975	1575	38
976	1576	37
977	1578	35
978	1579	33
979	1580	32
980	1581	30
981	1583	29
982	1584	27
983	1586	25
984	1587	24
985	1589	22
986	1590	20
987	1592	19
988	1593	17
989	1595	16
990	1596	14
991	1598	12
992	1599	11
993	1601	9
994	1602	8
995	1603	6
996	1605	4
997	1606	3
998	1608	1
999	1609	0
